Mutation chance(%), Time, Solution Length, Solution Found?
18, 42707, 9, True
19, 53240, 9, True
20, 52690, 9, True
21, 41481, 9, True
22, 22080, 9, True
23, 22009, 9, True
24, 50745, 9, True
25, 49934, 9, True
26, 60349, 9, True
27, 38463, 9, True
28, 28774, 11, True
29, 58396, 9, True
30, 41055, 9, True
31, 27863, 11, True
32, 27836, 9, True
33, 12579, 11, True
34, 44299, 9, True
35, 12049, 15, True
36, 16439, 11, True
37, 27359, 9, True
38, 25336, 9, True
39, 15911, 11, True
40, 32810, 9, True
41, 20413, 15, True
42, 11058, 17, True
43, 19801, 13, True
44, 14703, 25, True
45, 14579, 0, False
46, 17390, 11, True
47, 10207, 13, True
48, 6802, 17, True
49, 13553, 0, False
